Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-02-01,158.0,34309.69,9.52,118.33,0.0,-0.54,-6.4,367.38
2000-02-02,150.0,34559.99,0.0,290.91,0.0,-1.84,-14.51,200.26
2000-02-03,146.0,34565.07,0.0,157.87,0.0,-12.04,-17.41,160.0
2000-02-04,142.0,34905.6,0.0,339.24,0.0,-8.09,-25.26,78.17
2000-02-05,139.0,34905.6,0.0,355.05,0.0,-5.82,-26.52,79.96
2000-02-06,137.0,35250.53,0.0,362.14,0.0,-4.14,-26.58,71.6
2000-02-07,135.0,35251.18,0.0,315.08,0.0,-6.8,-20.76,116.43
2000-02-08,134.0,35587.64,0.0,351.23,0.0,-2.24,-20.48,120.1
2000-02-09,134.0,35596.84,0.0,318.04,0.0,-7.22,-21.26,111.76
2000-02-10,132.0,35891.94,0.0,279.9,0.0,-0.4,-11.76,251.26
2000-02-11,146.0,35942.39,8.84,208.91,0.0,-2.38,-13.71,217.69
2000-02-12,154.0,36170.77,3.75,249.09,0.0,-2.49,-16.87,160.0
2000-02-13,147.0,36288.03,0.0,378.21,0.0,-7.89,-27.49,74.61
2000-02-14,158.0,36516.33,15.7,301.84,0.0,-2.81,-27.07,70.62
2000-02-15,170.0,36633.59,17.08,111.08,0.0,-3.53,-8.63,317.76
2000-02-16,159.0,36861.95,0.0,307.29,0.0,-3.13,-14.79,198.91
2000-02-17,152.0,36979.21,3.56,291.42,0.0,-1.96,-17.33,160.0
2000-02-18,151.0,37274.36,0.0,353.13,0.0,-12.9,-27.33,78.64
2000-02-19,152.0,37324.82,5.2,315.98,0.0,-6.51,-27.46,66.64
2000-02-20,151.0,37661.16,1.09,302.67,0.0,-1.72,-12.41,236.41
2000-02-21,148.0,37670.37,0.0,339.11,0.0,-1.94,-14.39,200.0
2000-02-22,147.0,38015.39,0.0,381.79,0.0,-3.42,-18.57,143.05
2000-02-23,145.0,38016.04,0.0,367.64,0.0,1.05,-13.01,226.17
2000-02-24,160.0,38361.58,0.0,351.11,0.0,7.95,-5.06,423.12
2000-02-25,240.0,38361.58,0.0,343.36,0.0,8.85,-3.61,467.6
2000-02-26,270.0,38707.21,0.0,266.09,0.0,2.22,-6.42,379.72
2000-02-27,425.0,38707.21,0.0,203.89,0.0,2.84,-3.51,477.9
2000-02-28,474.0,39052.75,5.03,227.33,0.0,11.09,0.8,642.97
2000-02-29,920.0,39052.75,11.0,223.32,0.0,6.03,-3.71,469.5
2000-03-01,1010.0,39398.43,0.0,288.16,0.0,1.24,-7.56,353.14
2000-03-02,860.0,39431.55,2.6,328.93,0.0,6.49,-6.98,368.63
2000-03-03,775.0,39744.03,3.17,94.92,0.0,2.36,-1.11,565.48
2000-03-04,710.0,40039.16,0.16,166.15,0.0,1.48,-3.15,489.75
2000-03-05,640.0,40089.61,0.0,258.48,0.0,1.44,-5.81,399.14
2000-03-06,600.0,40435.2,0.0,222.51,0.0,1.34,-4.55,441.24
2000-03-07,590.0,40435.2,0.0,319.85,0.0,2.56,-6.06,392.61
2000-03-08,620.0,40780.8,0.0,453.15,0.0,8.12,-6.29,379.63
2000-03-09,630.0,40780.8,0.0,443.65,0.0,7.58,-5.71,403.42
2000-03-10,910.0,41126.41,2.74,391.85,0.0,12.02,-4.97,424.35
2000-03-11,1010.0,41126.41,0.0,284.27,0.0,-0.39,-7.3,352.36
2000-03-12,830.0,41472.0,17.01,144.92,0.0,-3.22,-7.57,352.38
2000-03-13,830.0,41808.4,9.33,313.38,0.0,0.25,-10.33,277.09
2000-03-14,680.0,41817.61,0.0,541.62,0.0,-3.08,-20.55,126.56
2000-03-15,660.0,42163.18,0.0,557.5,0.0,1.77,-17.38,160.61
2000-03-16,650.0,42163.18,0.0,498.0,0.0,8.95,-5.29,417.85
2000-03-17,790.0,42508.8,6.19,403.98,0.0,9.24,-7.95,335.05
2000-03-18,680.0,42508.8,0.0,482.71,0.0,-4.23,-16.61,169.98
2000-03-19,575.0,42854.38,0.0,549.9,0.0,-0.62,-17.06,164.19
2000-03-20,498.0,42854.38,0.0,574.86,0.0,3.92,-14.84,199.92
2000-03-21,445.0,43199.99,0.0,554.73,0.0,6.17,-10.44,280.23
2000-03-22,485.0,43545.62,0.0,565.02,0.0,10.06,-7.77,337.27
2000-03-23,640.0,43545.62,0.0,550.3,0.0,10.68,-5.79,406.5
2000-03-24,1230.0,43891.22,0.0,563.11,0.0,12.78,-4.63,437.8
2000-03-25,1670.0,43891.22,0.0,547.52,0.0,9.86,-5.99,394.13
2000-03-26,1870.0,44236.77,0.97,505.54,0.0,9.64,-3.97,461.42
2000-03-27,2100.0,44236.77,0.0,495.91,0.0,11.98,-1.06,568.2
2000-03-28,5270.0,44582.39,0.0,475.83,0.0,11.25,-1.02,569.73
2000-03-29,10600.0,44591.59,39.93,298.02,0.0,8.51,-0.91,571.83
2000-03-30,4990.0,44928.0,2.53,311.48,0.0,7.18,-0.89,574.36
2000-03-31,2840.0,45273.58,0.0,328.85,0.0,5.14,-2.22,518.34
2000-04-01,2010.0,45273.58,0.0,305.79,0.0,4.79,-1.84,536.44
2000-04-02,2210.0,45619.2,0.0,486.47,0.0,10.6,-1.35,559.28
2000-04-03,2660.0,45619.2,4.98,357.78,0.0,11.94,-0.07,609.49
2000-04-04,4680.0,45964.78,15.35,281.62,0.0,8.32,-0.25,608.71
2000-04-05,5050.0,45964.78,12.11,217.89,0.0,8.55,2.14,719.7
2000-04-06,2970.0,46310.4,0.0,320.79,0.0,3.92,-3.02,494.74
2000-04-07,2160.0,46319.61,1.82,327.91,0.0,5.35,-2.28,523.64
2000-04-08,1980.0,46655.98,5.86,237.15,0.0,5.95,-0.77,580.3
2000-04-09,8360.0,46968.5,21.67,362.04,0.0,12.02,0.74,640.11
2000-04-10,8320.0,47001.61,18.14,437.31,0.0,11.39,-4.57,443.07
2000-04-11,3620.0,47347.21,0.51,375.25,0.0,2.98,-5.2,414.41
2000-04-12,2270.0,47347.21,7.3,259.85,0.0,4.71,-2.48,510.86
2000-04-13,1660.0,47692.81,0.22,416.8,0.0,2.93,-5.71,401.06
2000-04-14,1350.0,47692.81,0.0,543.1,0.0,3.97,-8.3,326.17
2000-04-15,1170.0,48038.43,0.0,648.53,0.0,12.18,-6.92,369.36
2000-04-16,1500.0,48038.43,0.0,619.1,0.0,20.78,2.87,749.72
2000-04-17,1360.0,48383.99,0.0,574.56,0.0,9.44,-4.49,442.65
2000-04-18,1120.0,48384.63,0.0,526.55,0.0,6.54,-4.97,425.31
2000-04-19,989.0,48729.61,0.0,568.24,0.0,9.6,-3.74,471.05
2000-04-20,911.0,48738.8,0.0,289.54,0.0,6.11,0.77,654.59
2000-04-21,870.0,49075.17,0.0,499.01,0.0,12.37,2.19,717.33
2000-04-22,955.0,49125.64,11.86,289.57,0.0,6.48,-0.5,590.4
2000-04-23,3830.0,49420.8,30.2,103.45,0.0,1.37,-0.61,586.44
2000-04-24,11500.0,49538.05,30.99,185.82,0.0,3.53,-0.38,602.81
2000-04-25,5310.0,49766.37,1.4,413.67,0.0,4.3,-3.04,493.35
2000-04-26,2960.0,49883.64,0.0,548.59,0.0,7.63,-2.36,520.52
2000-04-27,1790.0,50112.02,0.77,593.58,0.0,9.58,-2.3,522.97
2000-04-28,1150.0,50229.28,0.73,357.4,0.0,4.21,-1.38,557.49
2000-04-29,1070.0,50457.61,0.0,572.73,0.0,8.06,-2.88,493.61
2000-04-30,1080.0,50508.05,0.62,684.89,0.0,18.04,-1.93,537.79
2000-05-01,983.0,50803.2,0.0,645.91,0.0,9.91,-4.84,431.89
2000-05-02,920.0,50812.41,1.94,651.45,0.0,14.01,-2.84,503.62
2000-05-03,855.0,51148.82,0.0,638.4,0.0,11.64,-3.13,487.35
2000-05-04,772.0,51149.46,0.0,678.95,0.0,15.9,-2.7,508.17
2000-05-05,811.0,51494.41,0.1,671.44,0.0,20.36,0.61,649.34
2000-05-06,888.0,51494.41,0.0,665.21,0.0,22.03,2.38,731.0
2000-05-07,757.0,51834.94,4.61,428.32,0.0,17.76,4.4,845.23
2000-05-08,1150.0,51840.02,5.25,473.69,0.0,26.36,7.31,1041.15
2000-05-09,1730.0,52028.15,18.48,380.5,0.0,21.28,9.43,1194.07
2000-05-10,3100.0,52185.6,21.58,315.05,0.0,10.41,1.95,704.45
2000-05-11,3190.0,52236.07,15.25,145.02,0.0,5.15,1.71,691.26
2000-05-12,2620.0,52531.21,4.66,306.17,0.0,9.75,1.62,692.55
2000-05-13,1600.0,52531.21,0.0,606.74,0.0,18.2,2.67,746.62
2000-05-14,2500.0,52843.69,14.01,255.07,0.0,12.26,5.46,900.29
2000-05-15,2020.0,52876.79,0.0,587.49,0.0,18.74,4.46,836.57
2000-05-16,1460.0,52927.26,0.0,569.4,0.0,13.4,0.15,617.43
2000-05-17,1160.0,53222.38,1.07,586.59,0.0,15.75,2.02,717.3
2000-05-18,994.0,53222.38,0.0,596.75,0.0,18.29,3.64,791.73
2000-05-19,1370.0,53410.52,11.08,444.53,0.0,15.27,1.04,660.59
2000-05-20,1070.0,53568.0,0.0,593.88,0.0,12.4,-2.08,526.45
2000-05-21,881.0,53568.0,0.0,613.27,0.0,17.66,1.29,679.62
2000-05-22,766.0,53756.18,0.0,406.68,0.0,14.81,6.11,946.31
2000-05-23,685.0,53913.64,0.0,434.83,0.0,16.47,6.78,987.01
2000-05-24,695.0,53913.64,4.48,273.55,0.0,13.53,6.17,941.88
2000-05-25,1090.0,54101.75,10.84,124.47,0.0,9.12,5.88,929.12
2000-05-26,1090.0,54259.19,4.83,274.55,0.0,13.76,5.86,937.66
2000-05-27,878.0,54259.19,0.0,378.29,0.0,14.64,6.47,980.03
2000-05-28,719.0,54309.67,0.0,348.91,0.0,12.4,4.92,878.66
2000-05-29,615.0,54571.76,0.0,361.29,0.0,13.16,5.15,884.67
2000-05-30,536.0,54604.85,0.0,550.0,0.0,16.31,2.38,731.95
2000-05-31,477.0,54604.85,0.0,579.09,0.0,20.24,4.32,840.12
2000-06-01,430.0,54655.29,0.0,542.85,0.0,22.04,7.76,1072.11
2000-06-02,380.0,54855.09,0.0,579.06,0.0,25.38,8.13,1095.15
2000-06-03,357.0,54950.4,0.24,500.25,0.0,20.52,8.16,1094.96
2000-06-04,329.0,54950.4,1.35,576.62,0.0,19.29,3.35,787.21
2000-06-05,347.0,54951.04,0.0,457.22,0.0,14.02,3.67,798.14
2000-06-06,335.0,55067.66,3.63,426.78,0.0,17.58,4.25,832.8
2000-06-07,326.0,55200.73,5.07,265.16,0.0,13.33,5.78,918.1
2000-06-08,324.0,55290.93,0.8,548.73,0.0,16.55,1.74,701.82
2000-06-09,297.0,55296.02,2.14,495.14,0.0,20.54,5.48,915.18
2000-06-10,275.0,55296.02,0.0,491.24,0.0,19.92,7.63,1063.72
2000-06-11,372.0,55296.02,16.67,281.74,0.0,13.32,5.14,881.05
2000-06-12,713.0,55305.22,7.67,138.49,0.0,7.78,4.26,831.34
2000-06-13,475.0,55346.46,0.0,468.12,0.0,15.57,4.58,850.48
2000-06-14,368.0,55413.27,0.0,539.81,0.0,18.27,4.15,831.35
2000-06-15,310.0,55484.16,0.0,430.23,0.0,17.81,7.99,1083.33
2000-06-16,287.0,55546.3,0.0,421.13,0.0,19.24,9.65,1217.53
2000-06-17,268.0,55546.3,0.0,517.96,0.0,28.43,13.61,1571.68
2000-06-18,248.0,55608.45,5.89,411.36,0.0,27.2,10.42,1273.84
2000-06-19,233.0,55608.45,1.43,438.54,0.0,21.74,10.73,1298.14
2000-06-20,217.0,55608.45,0.0,502.31,0.0,21.74,8.65,1135.22
2000-06-21,202.0,55608.45,0.0,539.33,0.0,24.81,9.06,1168.07
2000-06-22,201.0,55608.45,5.22,309.81,0.0,21.3,11.37,1360.97
2000-06-23,194.0,55608.45,1.52,443.34,0.0,26.71,13.99,1598.23
2000-06-24,183.0,55546.3,0.0,534.62,0.0,22.51,6.48,979.11
2000-06-25,174.0,55484.16,0.0,488.32,0.0,23.92,9.99,1244.09
2000-06-26,173.0,55413.27,5.16,356.03,0.0,25.22,13.27,1536.61
2000-06-27,184.0,55346.46,3.23,388.71,0.0,28.84,15.27,1739.81
2000-06-28,191.0,55305.22,7.44,342.37,0.0,25.28,11.71,1377.01
2000-06-29,166.0,55296.67,0.0,452.69,0.0,25.45,12.2,1423.18
2000-06-30,142.0,55296.02,8.85,327.36,0.0,24.82,12.34,1439.59
2000-07-01,286.0,55296.02,14.53,269.45,0.0,19.21,9.73,1218.57
2000-07-02,211.0,55296.02,0.0,451.65,0.0,24.13,11.06,1324.62
2000-07-03,149.0,55262.94,0.0,455.32,0.0,27.2,13.62,1561.34
2000-07-04,144.0,55138.57,8.92,154.79,0.0,20.97,16.04,1806.69
2000-07-05,141.0,54959.6,0.19,480.31,0.0,24.93,10.54,1282.91
2000-07-06,114.0,54950.4,0.0,337.48,0.0,17.75,9.39,1191.9
2000-07-07,99.0,54950.4,0.0,455.07,0.0,21.65,8.93,1156.16
2000-07-08,90.0,54945.33,0.0,432.95,0.0,19.87,8.18,1097.42
2000-07-09,90.0,54792.97,2.81,385.38,0.0,21.13,6.95,995.68
2000-07-10,94.0,54614.05,2.95,370.83,0.0,21.86,9.2,1182.83
2000-07-11,90.0,54604.85,2.51,372.48,0.0,22.76,10.95,1316.3
2000-07-12,85.0,54604.85,0.03,358.37,0.0,20.13,10.45,1276.26
2000-07-13,78.0,54447.39,0.0,499.45,0.0,25.15,8.77,1146.06
2000-07-14,73.0,54259.84,0.0,486.72,0.0,26.57,10.55,1284.42
2000-07-15,108.0,54259.19,5.78,342.21,0.0,25.63,11.13,1334.12
2000-07-16,1310.0,54226.06,11.09,253.84,0.0,21.67,12.44,1446.24
2000-07-17,5580.0,53922.84,50.68,187.27,0.0,17.46,11.1,1328.18
2000-07-18,1970.0,53913.64,5.02,325.97,0.0,22.24,11.07,1333.5
2000-07-19,1610.0,53908.55,9.32,315.31,0.0,23.14,11.07,1325.3
2000-07-20,983.0,53618.48,0.0,448.02,0.0,17.87,4.97,878.2
2000-07-21,495.0,53568.0,0.0,495.49,0.0,21.47,5.78,925.51
2000-07-22,447.0,53562.93,5.27,351.9,0.0,22.58,7.91,1085.24
2000-07-23,795.0,53231.59,7.86,325.07,0.0,21.36,8.69,1137.12
2000-07-24,536.0,53222.38,0.0,403.55,0.0,21.5,9.85,1228.02
2000-07-25,387.0,53127.1,0.0,466.81,0.0,25.17,10.32,1268.12
2000-07-26,299.0,52876.79,0.0,478.27,0.0,25.73,9.9,1232.32
2000-07-27,258.0,52876.79,0.08,443.97,0.0,24.41,10.3,1268.18
2000-07-28,253.0,52581.65,1.16,195.02,0.0,17.69,12.48,1454.58
2000-07-29,244.0,52531.21,0.0,384.32,0.0,24.87,13.79,1583.37
2000-07-30,316.0,52498.07,2.01,334.63,0.0,25.47,15.2,1726.21
2000-07-31,254.0,52185.6,0.0,398.56,0.0,23.3,11.85,1397.65
2000-08-01,216.0,52185.6,0.0,407.55,0.0,22.86,11.06,1325.06
2000-08-02,223.0,51840.66,0.0,305.36,0.0,20.96,12.92,1493.69
2000-08-03,231.0,51840.02,0.0,334.1,0.0,23.73,14.5,1660.49
2000-08-04,238.0,51611.68,7.92,337.76,0.0,27.62,13.71,1573.38
2000-08-05,217.0,51494.41,0.0,431.81,0.0,23.11,9.99,1239.12
2000-08-06,197.0,51399.12,0.0,391.18,0.0,20.61,9.17,1173.41
2000-08-07,186.0,51148.82,2.38,384.86,0.0,23.96,10.87,1314.04
2000-08-08,190.0,51115.67,4.02,223.3,0.0,21.81,14.22,1629.74
2000-08-09,194.0,50803.2,0.0,411.78,0.0,25.44,12.85,1488.89
2000-08-10,207.0,50798.11,5.79,272.78,0.0,24.62,14.04,1608.87
2000-08-11,197.0,50457.61,0.0,397.98,0.0,22.98,11.07,1325.58
2000-08-12,175.0,50457.61,0.0,436.52,0.0,24.92,10.93,1314.19
2000-08-13,159.0,50112.02,0.0,430.75,0.0,23.99,10.49,1279.43
2000-08-14,155.0,50112.02,4.43,330.72,0.0,21.21,11.04,1329.71
2000-08-15,226.0,49766.37,14.98,200.24,0.0,20.69,13.63,1565.01
2000-08-16,239.0,49766.37,0.67,287.26,0.0,23.57,15.43,1754.78
2000-08-17,177.0,49420.8,5.83,285.13,0.0,22.99,11.82,1385.4
2000-08-18,144.0,49420.8,0.01,310.03,0.0,16.51,8.21,1096.54
2000-08-19,170.0,49075.17,0.03,387.29,0.0,20.67,9.55,1203.8
2000-08-20,161.0,49075.17,2.05,355.41,0.0,19.78,9.51,1200.69
2000-08-21,158.0,48729.61,2.27,263.59,0.0,15.43,7.87,1075.87
2000-08-22,139.0,48729.61,0.0,446.48,0.0,20.95,6.54,963.15
2000-08-23,122.0,48383.99,3.48,358.27,0.0,22.43,6.49,982.34
2000-08-24,127.0,48378.89,5.46,246.53,0.0,20.13,11.12,1329.33
2000-08-25,158.0,48038.43,0.03,382.51,0.0,21.57,10.14,1251.39
2000-08-26,125.0,47881.02,0.0,423.48,0.0,24.44,10.84,1307.35
2000-08-27,106.0,47692.81,0.0,431.77,0.0,26.57,11.33,1353.84
2000-08-28,95.0,47397.64,0.0,460.47,0.0,23.43,6.4,973.54
2000-08-29,89.0,47347.21,0.0,451.9,0.0,21.55,5.4,899.32
2000-08-30,82.0,47001.61,0.0,456.92,0.0,24.08,6.38,976.1
2000-08-31,79.0,47001.61,0.0,392.81,0.0,25.9,12.39,1445.92
2000-09-01,77.0,46655.98,0.0,390.13,0.0,27.67,13.64,1575.7
2000-09-02,75.0,46655.98,11.35,309.1,0.0,28.67,12.51,1444.57
2000-09-03,84.0,46310.4,9.51,77.45,0.0,14.14,11.94,1394.9
2000-09-04,119.0,46310.4,8.76,238.53,0.0,20.48,10.78,1302.27
2000-09-05,117.0,45964.78,0.0,409.43,0.0,15.86,2.18,717.51
2000-09-06,98.0,45931.68,0.0,409.28,0.0,14.56,0.51,628.85
2000-09-07,81.0,45619.2,0.0,445.23,0.0,18.28,0.61,646.94
2000-09-08,74.0,45273.58,0.0,423.7,0.0,21.75,5.05,879.47
2000-09-09,70.0,45273.58,0.0,413.17,0.0,24.68,7.73,1068.09
2000-09-10,65.0,44928.0,0.0,414.03,0.0,22.52,5.62,909.93
2000-09-11,62.0,44928.0,0.0,410.11,0.0,23.13,6.16,946.29
2000-09-12,61.0,44582.39,0.0,388.7,0.0,23.08,7.23,1034.01
2000-09-13,64.0,44582.39,4.0,149.97,0.0,19.97,13.35,1535.14
2000-09-14,65.0,44236.77,0.0,365.44,0.0,19.78,5.89,929.82
2000-09-15,68.0,44236.77,0.0,365.55,0.0,21.33,6.62,988.33
2000-09-16,114.0,43891.22,13.42,180.77,0.0,16.04,7.89,1071.37
2000-09-17,141.0,43545.62,1.88,219.82,0.0,13.14,5.21,895.72
2000-09-18,96.0,43545.62,2.89,201.65,0.0,14.78,7.1,1013.68
2000-09-19,83.0,43199.99,0.0,324.91,0.0,18.25,6.01,939.8
2000-09-20,76.0,43199.99,0.0,358.56,0.0,21.69,6.61,990.86
2000-09-21,73.0,42854.38,0.0,288.65,0.0,24.33,12.93,1486.62
2000-09-22,68.0,42854.38,1.86,251.48,0.0,19.79,8.92,1153.92
2000-09-23,65.0,42508.8,0.19,251.65,0.0,14.93,5.96,932.14
2000-09-24,67.0,42168.24,3.37,188.66,0.0,15.34,6.47,968.54
2000-09-25,71.0,42163.18,0.25,357.07,0.0,15.91,0.88,651.96
2000-09-26,69.0,41817.61,0.0,316.81,0.0,11.95,-0.19,601.94
2000-09-27,65.0,41817.61,0.0,341.06,0.0,13.25,-0.75,577.2
2000-09-28,65.0,41472.0,2.54,317.59,0.0,17.69,0.9,641.57
2000-09-29,62.0,41472.0,0.0,315.88,0.0,7.64,-4.49,441.99
2000-09-30,60.0,41126.41,0.0,361.46,0.0,11.51,-4.49,444.3
2000-10-01,60.0,41126.41,0.0,373.64,0.0,18.83,-0.26,599.57
2000-10-02,59.0,40780.8,0.0,353.97,0.0,21.31,3.68,793.27
2000-10-03,59.0,40468.26,0.0,323.78,0.0,18.57,3.57,797.89
2000-10-04,59.0,40435.2,0.23,338.27,0.0,21.57,4.16,830.65
2000-10-05,59.0,40089.61,2.85,191.54,0.0,12.87,3.48,794.42
2000-10-06,100.0,40089.61,18.51,138.19,0.0,12.38,5.11,886.58
2000-10-07,347.0,39744.03,6.28,60.57,0.0,7.04,4.63,852.66
2000-10-08,227.0,39744.03,4.9,182.51,0.0,10.24,0.63,633.54
2000-10-09,192.0,39398.43,1.52,284.4,0.0,7.62,-4.09,458.07
2000-10-10,187.0,39398.43,12.46,157.15,0.0,4.26,-3.33,484.83
2000-10-11,194.0,39052.75,1.32,125.71,0.0,3.75,-0.77,582.35
2000-10-12,180.0,39002.29,0.0,270.04,0.0,10.85,-0.0,609.35
2000-10-13,181.0,38707.21,0.0,323.6,0.0,17.32,1.2,667.58
2000-10-14,172.0,38519.06,0.0,313.46,0.0,19.51,3.88,814.3
2000-10-15,154.0,38361.58,0.0,293.08,0.0,21.71,7.3,1024.82
2000-10-16,139.0,38049.09,0.0,322.55,0.0,12.4,-4.53,438.5
2000-10-17,132.0,38016.04,0.0,220.82,0.0,4.47,-4.49,444.37
2000-10-18,140.0,37670.37,0.0,212.83,0.0,10.06,0.9,660.72
2000-10-19,315.0,37670.37,15.68,77.23,0.0,7.84,3.98,814.67
2000-10-20,320.0,37324.82,0.0,222.7,0.0,10.83,1.13,663.8
2000-10-21,251.0,37324.82,0.0,285.95,0.0,15.97,0.65,635.03
2000-10-22,206.0,36979.21,0.0,294.57,0.0,18.04,0.75,640.25
2000-10-23,175.0,36979.21,0.0,264.5,0.0,8.17,-5.22,413.9
2000-10-24,162.0,36633.59,0.0,286.89,0.0,11.47,-5.18,420.43
2000-10-25,156.0,36633.59,0.0,265.91,0.0,14.43,-0.51,590.82
2000-10-26,152.0,36288.03,0.0,272.41,0.0,17.41,0.66,633.56
2000-10-27,147.0,36288.03,0.0,275.47,0.0,19.05,0.98,660.08
2000-10-28,142.0,35942.39,0.0,255.33,0.0,17.27,1.92,706.12
2000-10-29,136.0,35942.39,4.99,105.31,0.0,2.77,-3.69,466.12
2000-10-30,153.0,35601.92,11.44,72.21,0.0,-0.21,-4.32,450.9
2000-10-31,277.0,35596.84,12.74,74.52,0.0,3.24,-0.9,578.38
2000-11-01,350.0,35284.34,0.01,64.27,0.0,3.64,1.26,669.97
2000-11-02,308.0,35251.18,0.0,160.72,0.0,8.06,1.06,668.05
2000-11-03,319.0,35063.02,0.0,256.58,0.0,12.88,-1.63,545.85
2000-11-04,281.0,34905.6,0.0,261.45,0.0,14.02,-2.23,524.33
2000-11-05,256.0,34788.34,0.95,208.19,0.0,12.08,-0.6,593.02
2000-11-06,287.0,34559.99,2.1,86.05,0.0,5.62,1.49,679.22
2000-11-07,262.0,34559.35,1.67,110.28,0.0,5.28,0.06,620.99
2000-11-08,240.0,34214.4,0.0,103.16,0.0,8.41,3.62,799.41
2000-11-09,248.0,34214.4,0.2,144.9,0.0,11.33,4.11,825.45
2000-11-10,250.0,33901.92,4.96,83.92,0.0,8.13,3.09,763.89
2000-11-11,349.0,33868.81,11.53,47.99,0.0,5.13,2.57,734.97
2000-11-12,523.0,33818.36,0.0,147.03,0.0,10.69,3.53,799.02
2000-11-13,368.0,33523.23,0.0,111.02,0.0,6.63,1.59,685.19
2000-11-14,313.0,33523.23,12.15,75.48,0.0,5.86,1.87,705.21
2000-11-15,1240.0,33272.91,23.23,98.96,0.0,6.35,0.46,635.05
2000-11-16,1090.0,33177.61,0.0,71.75,0.0,2.4,-0.55,592.67
2000-11-17,808.0,33168.4,0.0,103.91,0.0,2.97,-1.34,560.03
2000-11-18,556.0,32837.07,0.71,195.6,0.0,6.21,-4.0,453.64
2000-11-19,509.0,32832.0,0.0,160.04,0.0,-0.67,-8.4,319.53
2000-11-20,416.0,32781.54,0.0,191.09,0.0,1.78,-7.98,336.4
2000-11-21,393.0,32491.47,3.99,112.1,0.0,1.81,-4.79,430.99
2000-11-22,349.0,32486.39,0.01,153.84,0.0,1.86,-4.91,439.11
2000-11-23,296.0,32477.18,0.0,166.39,0.0,-0.91,-8.2,327.01
2000-11-24,227.0,32173.93,0.0,189.62,0.0,-4.86,-13.8,201.93
2000-11-25,193.0,32140.81,0.0,192.39,0.0,-6.56,-16.32,164.04
2000-11-26,195.0,32140.17,0.0,187.59,0.0,-3.22,-12.36,240.0
2000-11-27,321.0,31952.65,17.0,170.24,0.0,1.02,-10.1,289.34
2000-11-28,578.0,31795.19,0.02,93.54,0.0,2.74,-0.49,599.84
2000-11-29,553.0,31795.19,0.51,95.09,0.0,2.67,-0.67,587.37
2000-11-30,506.0,31785.99,0.0,137.24,0.0,3.79,-1.37,556.95
2000-12-01,410.0,31607.04,0.0,127.39,0.0,1.36,-3.42,480.0
2000-12-02,350.0,31454.68,0.0,191.26,0.0,-0.67,-9.01,306.36
2000-12-03,282.0,31449.61,0.0,142.76,0.0,-6.05,-11.54,241.55
